City_ID,NMC_Code,City_EN,City_CN,Province_EN,Province_CN,Admin_district_EN,Admin_district_CN,Latitude,Longitude
CN101011600,54511,dongcheng,东城,beijing,北京,beijing,北京,39.917545,116.418755
CN101020100,58367,shanghai,上海,shanghai,上海,shanghai,上海,31.231707,121.47264
CN101030100,54527,tianjin,天津,tianjin,天津,tianjin,天津,39.125595,117.190186
CN101050101,50953,haerbin,哈尔滨,heilongjiang,黑龙江,haerbin,哈尔滨,45.756966,126.64246
CN101050311,57036,xian,西安,heilongjiang,黑龙江,mudanjiang,牡丹江,44.58103,129.61311
CN101060101,54161,changchun,长春,jilin,吉林,changchun,长春,43.88684,125.3245
CN101070101,54342,shenyang,沈阳,liaoning,辽宁,shenyang,沈阳,41.79677,123.42909
CN101080101,53463,huhehaote,呼和浩特,neimenggu,内蒙古,huhehaote,呼和浩特,40.81831,111.6708
CN101090101,53698,shijiazhuang,石家庄,hebei,河北,shijiazhuang,石家庄,38.045475,114.502464
CN101100101,53772,taiyuan,太原,shanxi,山西,taiyuan,太原,37.857014,112.54925
CN101120101,54823,jinan,济南,shandong,山东,jinan,济南,36.675808,117.00092
CN101130101,51463,wulumuqi,乌鲁木齐,xinjiang,新疆,wulumuqi,乌鲁木齐,43.792816,87.61773
CN101140101,55591,lasa,拉萨,xizang,西藏,lasa,拉萨,29.66036,91.13221
CN101150101,52866,xining,西宁,qinghai,青海,xining,西宁,36.623177,101.778915
CN101160101,52889,lanzhou,兰州,gansu,甘肃,lanzhou,兰州,36.05804,103.823555
CN101170101,53614,yinchuan,银川,ningxia,宁夏,yinchuan,银川,38.46637,106.278175
CN101180101,57083,zhengzhou,郑州,henan,河南,zhengzhou,郑州,34.757977,113.66541
CN101190101,58238,nanjing,南京,jiangsu,江苏,nanjing,南京,32.041546,118.76741
CN101200101,57494,wuhan,武汉,hubei,湖北,wuhan,武汉,30.584354,114.29857
CN101210101,57492,hangzhou,杭州,zhejiang,浙江,hangzhou,杭州,30.287458,120.15358
CN101220101,58321,hefei,合肥,anhui,安徽,hefei,合肥,31.86119,117.28304
CN101230101,58847,fuzhou,福州,fujian,福建,fuzhou,福州,26.075302,119.30624
CN101240101,58606,nanchang,南昌,jiangxi,江西,nanchang,南昌,28.676493,115.89215
CN101250101,57687,changsha,长沙,hunan,湖南,changsha,长沙,28.19409,112.98228
CN101260101,57816,guiyang,贵阳,guizhou,贵州,guiyang,贵阳,26.578342,106.71348
CN101270101,56294,chengdu,成都,sichuan,四川,chengdu,成都,30.659462,104.065735
CN101280101,59287,guangzhou,广州,guangdong,广东,guangzhou,广州,23.125177,113.28064
CN101290101,56778,kunming,昆明,yunnan,云南,kunming,昆明,25.04061,102.71225
CN101300101,59431,nanning,南宁,guangxi,广西,nanning,南宁,22.82402,108.32001
CN101310101,59758,haikou,海口,hainan,海南,haikou,海口,20.031971,110.33119
CN101050507,50859,lanxi,兰西,heilongjiang,黑龙江,suihua,绥化,46.259037,126.289314
CN101050703,50136,mohe,漠河,heilongjiang,黑龙江,daxinganling,大兴安岭,52.972073,122.536255
CN101060305,54286,helong,和龙,jilin,吉林,yanbian,延边,42.547005,129.00874
CN101060802,50948,qianan,乾安,jilin,吉林,songyuan,松原,45.006847,124.02436
CN101070606,54497,zhenxing,振兴,liaoning,辽宁,dandong,丹东,40.102802,124.36115
CN101071103,54243,changtu,昌图,liaoning,辽宁,tieling,铁岭,42.784443,124.11017
CN101080509,54026,zhalute,扎鲁特,neimenggu,内蒙古,tongliao,通辽,44.555294,120.90527
CN101080709,53533,hangjinqi,杭锦旗,neimenggu,内蒙古,eerduosi,鄂尔多斯,39.831787,108.73632
CN101090115,53697,gaocheng,藁城,hebei,河北,shijiazhuang,石家庄,38.033768,114.84965
CN101090608,54518,bazhou,霸州,hebei,河北,langfang,廊坊,39.117332,116.39202
CN101100208,53573,zuoyun,左云,shanxi,山西,datong,大同,40.012875,112.70641
CN101110206,57034,wugong,武功,shaanxi,陕西,xianyang,咸阳,34.25973,108.21286
CN101110906,57025,fengxiang,凤翔,shaanxi,陕西,baoji,宝鸡,34.521667,107.40057
CN101120502,54749,laizhou,莱州,shandong,山东,yantai,烟台,37.182724,119.94214
CN101120613,54843,kuiwen,奎文,shandong,山东,weifang,潍坊,36.709496,119.13736
CN101131010,51328,huoerguosi,霍尔果斯,xinjiang,新疆,yili,伊犁,44.201668,80.42076
CN101160603,56168,jinchuan,金川,gansu,甘肃,jinchang,金昌,38.513794,102.18768
CN101160701,52652,zhangye,张掖,gansu,甘肃,zhangye,张掖,38.932896,100.455475
CN101270111,56188,dujiangyan,都江堰,sichuan,四川,chengdu,成都,30.99114,103.6279
CN101270905,57313,bazhou,巴州,sichuan,四川,bazhong,巴中,31.858366,106.75367
CN101291503,56835,longchuan,陇川,yunnan,云南,dehong,德宏,24.184065,97.79444
CN101310204,59843,chengmai,澄迈,hainan,海南,chengmai,澄迈,19.737095,110.00715
CN101310304,59997,nansha,南沙,hainan,海南,sansha,三沙,9.900863,115.530174
